Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
MT1M	-4.67743835762239	6.68584896810848	-7.1330846857715	7.55366205863566e-08	1.3691826851381e-05	8.12664744709733
NAT2	-4.58191924752635	5.88057185662671	-6.73003163482481	2.20413310412593e-07	2.84841816533197e-05	7.09211548318261
FOSB	-4.55648678166127	4.98777449237382	-7.93195403902956	9.56252706674941e-09	3.2130090944278e-06	10.1177793482485
CFP	-4.52725018337687	4.49215670364573	-8.32162971621928	3.5918930178592e-09	1.65649654470683e-06	11.0577317570382
SLC22A1	-4.51955725683855	8.00253579068443	-6.98891705089378	1.10567575147236e-07	1.78119819689246e-05	7.75874651553259
TTC36	-4.44974624553674	5.79881752617402	-8.64697051849733	1.61006840295385e-09	9.70995098396781e-07	11.8260021725033
MARCO	-4.28737979189988	5.80980775345356	-8.03534173355308	7.36072387460315e-09	2.69027957679189e-06	10.3692340444598
CRHBP	-4.28081148424688	5.94032822953342	-7.06787964202863	8.9716460003171e-08	1.53765281611367e-05	7.9605558426106
CLEC4M	-4.21127875575152	5.54362298377278	-11.428583839166	2.96013131027899e-12	1.74055721044404e-08	17.7713858601387
CXCL14	-4.18877717174	5.04383536517477	-7.65545556996994	1.93822887966793e-08	5.36319332350468e-06	9.43810666328478
CLEC4G	-4.08155050876396	5.54834457955021	-10.5625889321605	1.8929377237086e-11	8.24225910656311e-08	16.0385234288387
FCN3	-3.90264222987584	7.86159753199436	-9.64544840831763	1.49663669740259e-10	2.56609818789565e-07	14.0880454759439
LINC00844	-3.89966934149431	6.62104474180063	-5.96666610509149	1.74956150400307e-06	0.000113360018110612	5.08802126323445
CNDP1	-3.84238849544497	5.45084419270595	-6.515529367783	3.92418845699193e-07	4.12039787984153e-05	6.53434088110712
APOF	-3.79316770071625	7.42650732476175	-9.15359097378476	4.74491754659257e-10	5.31430765218368e-07	12.9918906770216
LCAT	-3.78862657909553	5.29043449897708	-8.08288226463993	6.52919076466752e-09	2.51945680889167e-06	10.4843616908669
CLEC1B	-3.7446500125654	5.85890295542667	-8.7722764596589	1.18641327635852e-09	8.7201375812351e-07	12.1178383506735
OIT3	-3.6919761897279	6.63850799427676	-11.5347411601262	2.37268863199195e-12	1.74055721044404e-08	17.9767521543883
VIPR1	-3.69095988108795	4.57987006380008	-9.03804822665171	6.25100991102458e-10	5.88095012429192e-07	12.729277408484
CDA	-3.68477628129623	4.62085799556709	-6.08272013182202	1.27288416319278e-06	9.15542370590034e-05	5.39583447134445
GYS2	-3.6660916540492	7.22032286861025	-6.92175081818729	1.32147917279447e-07	2.03145033621739e-05	7.58651573713684
BMPER	-3.63359093454116	2.58876010332171	-6.61299701283737	3.01769597768777e-07	3.41827178964465e-05	6.78836860909686
SHBG	-3.56096730201596	4.42918532438283	-6.48105094185042	4.30722114763469e-07	4.36663109449861e-05	6.44425747111392
CYP1A2	-3.55786263006812	8.33797420912087	-7.41290884501524	3.63030754184625e-08	8.48540027077122e-06	8.83350242908295
KCNN2	-3.55626139267533	4.92287828832808	-8.22777121302495	4.5391259777126e-09	1.90643291063929e-06	10.833282844752
SDS	-3.47732859631814	7.41087431936774	-5.97656915443935	1.70264957771788e-06	0.00011128335116982	5.1143234238101
CYP2A6	-3.44608881461792	8.37604438059038	-7.26710149082514	5.31200668209572e-08	1.08642084489471e-05	8.46639901424706
GLS2	-3.43959359425084	5.71393805637643	-8.9050888369949	8.60328712217249e-10	6.70428605191353e-07	12.4246723341077
GLYAT	-3.43577773734185	6.60500570333376	-7.81822890579425	1.27723125760496e-08	4.003476266781e-06	9.83948290474847
ABCA8	-3.39839237324337	5.7400777042463	-11.9103969792852	1.09620936374279e-12	1.28914221176153e-08	18.6914229473285
HSD11B1	-3.39285133717126	9.26905160306772	-6.86428027203571	1.53986914036543e-07	2.27784416235188e-05	7.43873932946769
GBA3	-3.37268522171372	7.070898325186	-8.55778812050156	2.00341164489952e-09	1.04711648640082e-06	11.6169157869918
THRSP	-3.3663544927215	6.69187302106508	-5.25692237014034	1.24422397389009e-05	0.000469729500255133	3.19068346860881
HGFAC	-3.34795640507877	5.97452104924723	-5.82670448862326	2.57074134764987e-06	0.000150034333738772	4.71562973966202
NPW	-3.33581600345165	2.96477051166664	-3.98826757466818	0.000413359826628251	0.00616110464023857	-0.17656617007195
FLJ22763	-3.28546957671561	4.52104641873223	-5.77168451437881	2.99159691756099e-06	0.000167131495251863	4.56892925318016
SAA1 /// SAA2	-3.28458603934052	8.57748131870646	-3.31889291717323	0.00244584859082043	0.0221170160923093	-1.85883726598538
CYP2A7	-3.27325289963015	7.10103621739101	-6.29090125791112	7.2129324040651e-07	6.23634584253288e-05	5.94546151398888
CYP2B6 /// CYP2B7P	-3.26918323507937	8.85388054085858	-5.57772662994931	5.11195302715284e-06	0.000246885287882207	4.05061604286992
HAO2	-3.26066209619517	6.92297416213438	-6.74200619801077	2.13457772063595e-07	2.80476357482444e-05	7.12311263585352
C5orf27	-3.25206248423765	5.7111114566458	-9.3277961013199	3.14171860933395e-10	4.25350082104245e-07	13.3841564213922
C3P1	-3.24572652863491	8.13510273205921	-7.02764710413188	9.97874138812611e-08	1.64125872341767e-05	7.85782260254457
ANGPTL6	-3.24408355260156	4.71164473301341	-7.19274182992225	6.45630460752405e-08	1.24469085548332e-05	8.27815838784981
HAMP	-3.23089258028054	10.0428291984778	-6.79545645587997	1.85024954106083e-07	2.54490463191524e-05	7.26128505677734
TIMD4	-3.2086372632941	4.82651515556669	-5.73233072210637	3.33461487141377e-06	0.000183247994802925	4.4639029371852
BCO2	-3.20474410954773	5.59008405116069	-7.47835579677262	3.0626545918616e-08	7.40633007796187e-06	8.99739950946977
MT1F	-3.19320815127176	9.47714269033369	-7.82097414548389	1.26831450334719e-08	4.003476266781e-06	9.84622158344255
