Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	24	8.21917808219178	2.3311431335871793E-11	CDK1, KIF11, NEK2, KIF15, TPX2, KNTC1, CENPF, AURKA, BIRC5, PBK, PTTG1, CEP55, HGF, FAM83D, SPC25, OIP5, NCAPG2, BUB1B, SKA1, CDCA5, CCNA2, ASPM, HELLS, CDCA3	278	248	16792	5.84543977721049	3.7508144701270396E-8	3.7508144701270396E-8	3.9061442969057225E-8
GOTERM_BP_DIRECT	GO:0051301~cell division	27	9.246575342465754	1.6077320228461067E-10	KIF14, CDK1, KIF11, NEK2, KNTC1, TPX2, CENPF, BIRC5, AURKA, PTTG1, SMC4, FAM83D, CCNB1, CCNE2, SPC25, CDCA8, SPAG5, NCAPG2, OIP5, ZWINT, CKS2, BUB1B, SKA1, CDCA5, CCNA2, HELLS, CDCA3	278	350	16792	4.659650565262076	2.5868400121975554E-7	1.293420089920616E-7	2.6939670494385837E-7
GOTERM_CC_DIRECT	GO:0030496~midbody	16	5.47945205479452	1.8012935519901872E-9	KIF14, KIF23, CDK1, KIF4A, PRC1, NEK2, CENPF, BIRC5, AURKA, CEP55, RACGAP1, CDCA8, SPAG5, ASPM, SHCBP1, KIF20A	287	129	18224	7.8757529103530235	4.93554313751865E-7	4.93554313751865E-7	2.3737735777018543E-6
GOTERM_CC_DIRECT	GO:0005576~extracellular region	54	18.493150684931507	1.683731512011369E-7	PZP, CNDP1, MASP1, MASP2, CXCL12, CFP, CFHR4, LPA, HAMP, RSPO3, APOF, PROZ, CETP, CFI, HHIP, GHR, SHBG, F11, F8, COLEC10, F9, IGFALS, COLEC11, CD163, PRELP, C8B, GZMK, CCDC3, BGN, NGFR, MFAP4, C7, C9, C6, PAMR1, CXCL2, DCN, ESM1, MDK, FCN3, CCL21, BCHE, CRISPLD2, HBB, NTN4, IGF1, CD5L, HGF, ECM1, PLG, S100A12, BMPER, CXCL14, IGFBP3	287	1610	18224	2.1297552318912722	4.613318314450332E-5	2.3066857612219493E-5	2.218846175239264E-4
GOTERM_BP_DIRECT	GO:0006260~DNA replication	15	5.136986301369863	2.888385581057637E-7	EXO1, CDK1, CDC45, RFC4, BLM, DTL, RRM2, IGF1, BRIP1, CHEK1, MCM2, MCM3, FEN1, MCM6, BARD1	278	155	16792	5.84543977721049	4.6463333154056485E-4	1.5490177049981568E-4	4.8398609215905E-4
GOTERM_CC_DIRECT	GO:0005876~spindle microtubule	9	3.0821917808219177	3.622676078426112E-7	CDK1, KIF4A, KIF11, PRC1, SPAG5, NUSAP1, AURKA, BIRC5, SKA1	287	44	18224	12.988280012670256	9.925641627295256E-5	3.3086566799789274E-5	4.77401023402102E-4
GOTERM_MF_DIRECT	GO:0019825~oxygen binding	9	3.0821917808219177	7.689694613077726E-7	TDO2, CYP2C19, CYP2B6, CYP26A1, CYP2A7, CYP2E1, CYP1A2, CYP8B1, HBB	274	47	16881	11.797561733188383	4.497461417070081E-4	4.497461417070081E-4	0.0011317682520717298
GOTERM_BP_DIRECT	GO:0007062~sister chromatid cohesion	12	4.10958904109589	1.0513196812112277E-6	SPC25, CDCA8, CENPL, ZWINT, KIF18A, KNTC1, CENPF, BUB1B, BIRC5, SKA1, CENPK, CDCA5	278	103	16792	7.037228469651463	0.001690144350888878	4.2280415718132236E-4	0.001761610537875935
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	28	9.58904109589041	1.8896698417877356E-6	PHYHD1, STEAP4, HSD17B2, CYP2C19, CYP2B6, LDHD, KMO, BBOX1, TDO2, CYP39A1, DHODH, AKR7A3, HHIP, IDO2, F8, CYP26A1, CBR4, CYP2E1, CYP1A2, STAB2, ACADL, IYD, G6PD, RRM2, CYP2A7, CYP8B1, AKR1D1, BCO2	278	592	16792	2.8568928640871087	0.0030358640650031132	6.079114765487059E-4	0.0031663445288265812
GOTERM_CC_DIRECT	GO:0000775~chromosome, centromeric region	9	3.0821917808219177	2.830867618055834E-6	CDCA8, CENPL, MKI67, HJURP, OIP5, CENPF, BIRC5, CDCA5, HELLS	287	57	18224	10.026040711534934	7.753580797100756E-4	1.9389590607177265E-4	0.003730498544807226
GOTERM_BP_DIRECT	GO:0000086~G2/M transition of mitotic cell cycle	13	4.4520547945205475	2.8516378691999934E-6	CDK1, NEK2, FOXM1, TPX2, TPD52L1, CHEK1, AURKA, BIRC5, HMMR, CCNB1, PRKAR2B, TUBG1, MELK	278	137	16792	5.731659927532427	0.004577781743075993	7.644229920267254E-4	0.004778188939302819
GOTERM_CC_DIRECT	GO:0005819~spindle	12	4.10958904109589	3.250831257534542E-6	KIF23, KIF11, PRC1, KIF15, TPX2, NUSAP1, CENPF, TTK, AURKA, BIRC5, SHCBP1, KIF20A	287	121	18224	6.2973478849310345	8.903326308584703E-4	1.7812997544475184E-4	0.0042839128847282915
GOTERM_BP_DIRECT	GO:0000281~mitotic cytokinesis	7	2.3972602739726026	6.589888763188684E-6	KIF23, KIF4A, ANK3, NUSAP1, CEP55, RACGAP1, KIF20A	278	29	16792	14.580004961548003	0.01054715054780142	0.0015135913572750237	0.011041656667387656
GOTERM_BP_DIRECT	GO:0000082~G1/S transition of mitotic cell cycle	11	3.767123287671233	7.110395033806368E-6	PRIM1, CCNE2, CDK1, TYMS, CDC45, RRM2, MCM2, MCM3, CDKN3, CDCA5, MCM6	278	102	16792	6.5140358301594015	0.011375470724429348	0.0014290612035767758	0.011913739611568719
GOTERM_BP_DIRECT	GO:0019373~epoxygenase P450 pathway	6	2.054794520547945	8.465804433166912E-6	CYP2C19, CYP2B6, EPHX2, CYP2A7, CYP2E1, CYP1A2	278	18	16792	20.134292565947245	0.01352918366362399	0.0015123593404476887	0.014184628585645065
GOTERM_MF_DIRECT	GO:0020037~heme binding	12	4.10958904109589	1.4161499302968675E-5	TDO2, CYP39A1, CYP2C19, CYP2B6, IDO2, CYP26A1, CYP2A7, CYP2E1, CYP4V2, CYP1A2, CYP8B1, HBB	274	137	16881	5.396451595716341	0.008250313557005451	0.004133700518491046	0.02084096172626504
GOTERM_BP_DIRECT	GO:0007059~chromosome segregation	9	3.0821917808219177	1.555330532333466E-5	SPC25, KIF11, HJURP, OIP5, NEK2, SPAG5, CENPF, SKA1, TOP2A	278	68	16792	7.994498518831993	0.024714921854810834	0.002499417529543191	0.026058426360209275
GOTERM_MF_DIRECT	GO:0008017~microtubule binding	14	4.794520547945205	3.5201942956181336E-5	KIF14, KIF23, KIF4A, KIF11, PRC1, KIF15, KIF18A, FTCD, NUSAP1, BIRC5, RACGAP1, FAM83D, SKA1, KIF20A	274	208	16881	4.146792532285233	0.020382901121771435	0.006840992839326265	0.0517979392501533
GOTERM_MF_DIRECT	GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	8	2.73972602739726	3.54962426058042E-5	CYP39A1, CYP2C19, CYP2B6, CYP26A1, CYP2A7, CYP2E1, CYP4V2, CYP8B1	274	57	16881	8.646945831732616	0.020551548632127048	0.005177965499692849	0.05223088137855658
